(phone,memory,color,state,daytime,price)
('iPhone XR',64,'Negro','Stallone','2020/11/30 00:00:00',423),
('iPhone XR',64,'Negro','Correcto','2020/11/30 00:00:00',420),
('iPhone XR',64,'Negro','Buen estado','2020/11/30 00:00:00',463),
('iPhone XR',64,'Negro','Muy bueno','2020/11/30 00:00:00',448),
('iPhone XR',64,'Negro','Impecable','2020/11/30 00:00:00',449),
('iPhone XR',64,'Negro','Stallone','2020/12/01 00:00:00',399),
('iPhone XR',64,'Negro','Correcto','2020/12/01 00:00:00',430),
('iPhone XR',64,'Negro','Buen estado','2020/12/01 00:00:00',408),
('iPhone XR',64,'Negro','Muy bueno','2020/12/01 00:00:00',448),
('iPhone XR',64,'Negro','Impecable','2020/12/01 00:00:00',446),
('iPhone XR',64,'Negro','Stallone','2020/12/02 00:00:00',399),
('iPhone XR',64,'Negro','Correcto','2020/12/02 00:00:00',415),
('iPhone XR',64,'Negro','Buen estado','2020/12/02 00:00:00',400),
('iPhone XR',64,'Negro','Muy bueno','2020/12/02 00:00:00',448),
('iPhone XR',64,'Negro','Impecable','2020/12/02 00:00:00',467),
('iPhone XR',64,'Negro','Stallone','2020/12/03 00:00:00',399),
('iPhone XR',64,'Negro','Correcto','2020/12/03 00:00:00',422),
('iPhone XR',64,'Negro','Buen estado','2020/12/03 00:00:00',422),
('iPhone XR',64,'Negro','Muy bueno','2020/12/03 00:00:00',439),
('iPhone XR',64,'Negro','Impecable','2020/12/03 00:00:00',457),
('iPhone XR',64,'Negro','Stallone','2020/12/04 00:00:00',423),
('iPhone XR',64,'Negro','Correcto','2020/12/04 00:00:00',422),
('iPhone XR',64,'Negro','Buen estado','2020/12/04 00:00:00',422),
('iPhone XR',64,'Negro','Muy bueno','2020/12/04 00:00:00',457),
('iPhone XR',64,'Negro','Impecable','2020/12/04 00:00:00',463),
('iPhone XR',64,'Rojo','Stallone','2020/11/30 00:00:00',420),
('iPhone XR',64,'Rojo','Correcto','2020/11/30 00:00:00',383),
('iPhone XR',64,'Rojo','Buen estado','2020/11/30 00:00:00',420),
('iPhone XR',64,'Rojo','Muy bueno','2020/11/30 00:00:00',429),
('iPhone XR',64,'Rojo','Impecable','2020/11/30 00:00:00',455),
('iPhone XR',64,'Rojo','Stallone','2020/12/01 00:00:00',389),
('iPhone XR',64,'Rojo','Correcto','2020/12/01 00:00:00',389),
('iPhone XR',64,'Rojo','Buen estado','2020/12/01 00:00:00',420),
('iPhone XR',64,'Rojo','Muy bueno','2020/12/01 00:00:00',459),
('iPhone XR',64,'Rojo','Impecable','2020/12/01 00:00:00',447),
('iPhone XR',64,'Rojo','Stallone','2020/12/02 00:00:00',432),
